Number of operations,t=1000d,t=2000d,t=3000d
0,0.0,0.0,0.0
1,0.000999500166624978,0.001998001332666921,0.0029955044966269995
2,0.001998001332666921,0.003992010656008516,0.005982035946064723
3,0.0029955044966269995,0.005982035946064723,0.008959621227116354
4,0.003992010656008516,0.007968085162939342,0.011928287138069482
5,0.00498752080731768,0.009950166250831893,0.014888060396937353
6,0.005982035946064723,0.011928287138069482,0.017838967641699233
7,0.0069755570667648925,0.013902455737138109,0.02078103543054044
8,0.007968085162939342,0.015872679944714863,0.023714290242090708
9,0.008959621227116354,0.017838967641699233,0.026638758475663216
10,0.009950166250831893,0.019801326693244747,0.029554466451491845
11,0.010939721224631271,0.02175976494878995,0.03246144041096799
12,0.011928287138069482,0.023714290242090708,0.03535970651687692
13,0.012915864979712421,0.025664910391250628,0.038249290853633267
14,0.013902455737138109,0.02761163319875315,0.04113021942751549
15,0.014888060396937353,0.029554466451491845,0.04400251816690004
16,0.015872679944714863,0.0314934179208024,0.046866212922495265
17,0.016856315365090357,0.03342849536249337,0.04972132946757302
18,0.017838967641699233,0.03535970651687692,0.05256789349820168
19,0.018820637757194003,0.03728705910880048,0.05540593063347665
20,0.019801326693244747,0.03921056084767682,0.05823546641575128
21,0.02078103543054044,0.04113021942751549,0.06105652631086678
22,0.02175976494878995,0.04304604252695332,0.06386913570838115
23,0.02273751622672293,0.04495803780928531,0.06667331992179804
24,0.023714290242090708,0.046866212922495265,0.06946910418879426
25,0.024690087971667385,0.048770575499285984,0.07225651367144714
26,0.025664910391250628,0.05067113315711047,0.07503557345646072
27,0.026638758475663216,0.05256789349820168,0.07780630855539195
28,0.02761163319875315,0.05446086410960371,0.08056874390487534
29,0.02858353553339521,0.05635005256320147,0.08332290436684775
30,0.029554466451491845,0.05823546641575128,0.08606881472877181
31,0.030524426923974057,0.06011711320891111,0.08880649970385945
32,0.0314934179208024,0.061995000469270534,0.09153598393129381
33,0.03246144041096799,0.06386913570838115,0.0942572919764515
34,0.03342849536249337,0.06573952642278647,0.09697044833112323
